T3 - F | 103 | Маркер иниц. срабатывание перехода | Маркер #6
P4 | 103 | Маркер уничтожен из конечной позиции | Маркер #5
G1 | 105 | Сгенерирован маркер | Маркер #8
Маркер #8 | 105 | Session = 8,72169028269127
T1 - Y | 105 | Маркер иниц. срабатывание перехода | Маркер #8
G1 | 106 | Маркер покинул генератор | Маркер #8
Q1 | 106 | В очередь добавлен маркер | Маркер #8
T1 - Y | 106 | Переход завершил работу | Маркер #8
Маркер #6 | 112 | Session = -3,96200041240081
P1 | 112 | Маркер покинул позицию | Маркер #6
P2 | 112 | Позиция маркирована | Маркер #6
P3 | 112 | Позиция маркирована | Маркер #6
T3 - F | 112 | Переход завершил работу | Маркер #6
T2 - J | 112 | Маркер иниц. срабатывание перехода | Маркер #7
T4 - X | 112 | Маркер иниц. срабатывание перехода | Маркер #6
P3 | 113 | Маркер покинул позицию | Маркер #6
P4 | 113 | Позиция маркирована | Маркер #6
T4 - X | 113 | Переход завершил работу | Маркер #6
P1 | 113 | Позиция маркирована | Маркер #7
Q1 | 113 | Маркер покинул очередь | Маркер #7
P2 | 113 | Маркер покинул позицию | Маркер #6
T2 - J | 113 | Переход завершил работу | Маркер #7
T3 - F | 113 | Маркер иниц. срабатывание перехода | Маркер #7
P4 | 113 | Маркер уничтожен из конечной позиции | Маркер #6
Маркер #7 | 122 | Session = 3,0990790403448
P1 | 122 | Маркер покинул позицию | Маркер #7
P2 | 122 | Позиция маркирована | Маркер #7
P3 | 122 | Позиция маркирована | Маркер #7
T3 - F | 122 | Переход завершил работу | Маркер #7
T2 - J | 122 | Маркер иниц. срабатывание перехода | Маркер #8
T4 - X | 122 | Маркер иниц. срабатывание перехода | Маркер #7
P3 | 123 | Маркер покинул позицию | Маркер #7
P5 | 123 | Позиция маркирована | Маркер #7
T4 - X | 123 | Переход завершил работу | Маркер #7
P1 | 123 | Позиция маркирована | Маркер #8
Q1 | 123 | Маркер покинул очередь | Маркер #8
P2 | 123 | Маркер покинул позицию | Маркер #7
T2 - J | 123 | Переход завершил работу | Маркер #8
T1 - Y | 123 | Маркер иниц. срабатывание перехода | Маркер #7
T3 - F | 123 | Маркер иниц. срабатывание перехода | Маркер #8
G1 | 124 | Сгенерирован маркер | Маркер #9
Маркер #9 | 124 | Session = 5,25181318400428
P5 | 124 | Маркер покинул позицию | Маркер #7
Q1 | 124 | В очередь добавлен маркер | Маркер #7
T1 - Y | 124 | Переход завершил работу | Маркер #7
T1 - Y | 124 | Маркер иниц. срабатывание перехода | Маркер #9
G1 | 125 | Маркер покинул генератор | Маркер #9
Q1 | 125 | В очередь добавлен маркер | Маркер #9
T1 - Y | 125 | Переход завершил работу | Маркер #9
Маркер #8 | 132 | Session = -0,27830971730873
P1 | 132 | Маркер покинул позицию | Маркер #8
P2 | 132 | Позиция маркирована | Маркер #8
P3 | 132 | Позиция маркирована | Маркер #8
T3 - F | 132 | Переход завершил работу | Маркер #8
T2 - J | 132 | Маркер иниц. срабатывание перехода | Маркер #7
T4 - X | 132 | Маркер иниц. срабатывание перехода | Маркер #8
P3 | 133 | Маркер покинул позицию | Маркер #8
P4 | 133 | Позиция маркирована | Маркер #8
T4 - X | 133 | Переход завершил работу | Маркер #8
P1 | 133 | Позиция маркирована | Маркер #7
Q1 | 133 | Маркер покинул очередь | Маркер #7
P2 | 133 | Маркер покинул позицию | Маркер #8
T2 - J | 133 | Переход завершил работу | Маркер #7
T3 - F | 133 | Маркер иниц. срабатывание перехода | Маркер #7
P4 | 133 | Маркер уничтожен из конечной позиции | Маркер #8
G1 | 137 | Сгенерирован маркер | Маркер #10
Маркер #10 | 137 | Session = 11,9814005331136
T1 - Y | 137 | Маркер иниц. срабатывание перехода | Маркер #10
G1 | 138 | Маркер покинул генератор | Маркер #10
Q1 | 138 | В очередь добавлен маркер | Маркер #10
T1 - Y | 138 | Переход завершил работу | Маркер #10
Маркер #7 | 142 | Session = -5,9009209596552
P1 | 142 | Маркер покинул позицию | Маркер #7
P2 | 142 | Позиция маркирована | Маркер #7
P3 | 142 | Позиция маркирована | Маркер #7
T3 - F | 142 | Переход завершил работу | Маркер #7
T2 - J | 142 | Маркер иниц. срабатывание перехода | Маркер #9
T4 - X | 142 | Маркер иниц. срабатывание перехода | Маркер #7
P3 | 143 | Маркер покинул позицию | Маркер #7
P4 | 143 | Позиция маркирована | Маркер #7
T4 - X | 143 | Переход завершил работу | Маркер #7
P1 | 143 | Позиция маркирована | Маркер #9
Q1 | 143 | Маркер покинул очередь | Маркер #9
P2 | 143 | Маркер покинул позицию | Маркер #7
T2 - J | 143 | Переход завершил работу | Маркер #9
T3 - F | 143 | Маркер иниц. срабатывание перехода | Маркер #9
P4 | 143 | Маркер уничтожен из конечной позиции | Маркер #7
Маркер #9 | 152 | Session = -3,74818681599572
P1 | 152 | Маркер покинул позицию | Маркер #9
P2 | 152 | Позиция маркирована | Маркер #9
P3 | 152 | Позиция маркирована | Маркер #9
T3 - F | 152 | Переход завершил работу | Маркер #9
T2 - J | 152 | Маркер иниц. срабатывание перехода | Маркер #10
T4 - X | 152 | Маркер иниц. срабатывание перехода | Маркер #9
G1 | 153 | Сгенерирован маркер | Маркер #11
Маркер #11 | 153 | Session = 11,0206734179519
P3 | 153 | Маркер покинул позицию | Маркер #9
P4 | 153 | Позиция маркирована | Маркер #9
T4 - X | 153 | Переход завершил работу | Маркер #9
P1 | 153 | Позиция маркирована | Маркер #10
Q1 | 153 | Маркер покинул очередь | Маркер #10
P2 | 153 | Маркер покинул позицию | Маркер #9
T2 - J | 153 | Переход завершил работу | Маркер #10
T1 - Y | 153 | Маркер иниц. срабатывание перехода | Маркер #11
T3 - F | 153 | Маркер иниц. срабатывание перехода | Маркер #10
P4 | 153 | Маркер уничтожен из конечной позиции | Маркер #9
G1 | 154 | Маркер покинул генератор | Маркер #11
Q1 | 154 | В очередь добавлен маркер | Маркер #11
T1 - Y | 154 | Переход завершил работу | Маркер #11
Маркер #10 | 162 | Session = 2,98140053311363
P1 | 162 | Маркер покинул позицию | Маркер #10
P2 | 162 | Позиция маркирована | Маркер #10
P3 | 162 | Позиция маркирована | Маркер #10
T3 - F | 162 | Переход завершил работу | Маркер #10
T2 - J | 162 | Маркер иниц. срабатывание перехода | Маркер #11
T4 - X | 162 | Маркер иниц. срабатывание перехода | Маркер #10
P3 | 163 | Маркер покинул позицию | Маркер #10
P5 | 163 | Позиция маркирована | Маркер #10
T4 - X | 163 | Переход завершил работу | Маркер #10
P1 | 163 | Позиция маркирована | Маркер #11
Q1 | 163 | Маркер покинул очередь | Маркер #11
P2 | 163 | Маркер покинул позицию | Маркер #10
T2 - J | 163 | Переход завершил работу | Маркер #11
T1 - Y | 163 | Маркер иниц. срабатывание перехода | Маркер #10
T3 - F | 163 | Маркер иниц. срабатывание перехода | Маркер #11
P5 | 164 | Маркер покинул позицию | Маркер #10
Q1 | 164 | В очередь добавлен маркер | Маркер #10
T1 - Y | 164 | Переход завершил работу | Маркер #10
G1 | 165 | Сгенерирован маркер | Маркер #12
Маркер #12 | 165 | Session = 14,1601932165213
T1 - Y | 165 | Маркер иниц. срабатывание перехода | Маркер #12
G1 | 166 | Маркер покинул генератор | Маркер #12
Q1 | 166 | В очередь добавлен маркер | Маркер #12
T1 - Y | 166 | Переход завершил работу | Маркер #12
Маркер #11 | 172 | Session = 2,02067341795191
P1 | 172 | Маркер покинул позицию | Маркер #11
P2 | 172 | Позиция маркирована | Маркер #11
P3 | 172 | Позиция маркирована | Маркер #11
T3 - F | 172 | Переход завершил работу | Маркер #11
T2 - J | 172 | Маркер иниц. срабатывание перехода | Маркер #10
T4 - X | 172 | Маркер иниц. срабатывание перехода | Маркер #11
P3 | 173 | Маркер покинул позицию | Маркер #11
P5 | 173 | Позиция маркирована | Маркер #11
T4 - X | 173 | Переход завершил работу | Маркер #11
P1 | 173 | Позиция маркирована | Маркер #10
Q1 | 173 | Маркер покинул очередь | Маркер #10
P2 | 173 | Маркер покинул позицию | Маркер #11
T2 - J | 173 | Переход завершил работу | Маркер #10
T1 - Y | 173 | Маркер иниц. срабатывание перехода | Маркер #11
T3 - F | 173 | Маркер иниц. срабатывание перехода | Маркер #10
P5 | 174 | Маркер покинул позицию | Маркер #11
Q1 | 174 | В очередь добавлен маркер | Маркер #11
T1 - Y | 174 | Переход завершил работу | Маркер #11
G1 | 179 | Сгенерирован маркер | Маркер #13
Маркер #13 | 179 | Session = 10,7898488710634
T1 - Y | 179 | Маркер иниц. срабатывание перехода | Маркер #13
G1 | 180 | Маркер покинул генератор | Маркер #13
Q1 | 180 | В очередь добавлен маркер | Маркер #13
T1 - Y | 180 | Переход завершил работу | Маркер #13
Маркер #10 | 182 | Session = -6,01859946688637
P1 | 182 | Маркер покинул позицию | Маркер #10
P2 | 182 | Позиция маркирована | Маркер #10
P3 | 182 | Позиция маркирована | Маркер #10
T3 - F | 182 | Переход завершил работу | Маркер #10
T2 - J | 182 | Маркер иниц. срабатывание перехода | Маркер #12
T4 - X | 182 | Маркер иниц. срабатывание перехода | Маркер #10
P3 | 183 | Маркер покинул позицию | Маркер #10
P4 | 183 | Позиция маркирована | Маркер #10
T4 - X | 183 | Переход завершил работу | Маркер #10
P1 | 183 | Позиция маркирована | Маркер #12
Q1 | 183 | Маркер покинул очередь | Маркер #12
P2 | 183 | Маркер покинул позицию | Маркер #10
T2 - J | 183 | Переход завершил работу | Маркер #12
T3 - F | 183 | Маркер иниц. срабатывание перехода | Маркер #12
P4 | 183 | Маркер уничтожен из конечной позиции | Маркер #10
Маркер #12 | 192 | Session = 5,16019321652129
P1 | 192 | Маркер покинул позицию | Маркер #12
P2 | 192 | Позиция маркирована | Маркер #12
